04:37:15.8  -47:15:09.1  
06:13:43.9  -02:00:47.2  
07:11:54.1  -68:30:47.3  
10:17:51.3  -71:56:41.6  
10:22:57.9  +10:01:52.6  
10:24:38.6  -07:19:19.5  
10:45:50.1  -45:09:54.1  
11:25:55.2  -60:14:06.6  
14:46:35.7  -47:01:26.7  
15:45:55.9  -45:50:37.5  
16:00:51.9  -30:53:49.3  
16:03:35.6  -72:02:32.7  
16:43:38.1  -12:24:58.6  
17:13:49.5  +07:47:37.4  
17:30:21.6  -23:04:31.1  
17:32:47.7  -50:49:00.1  
17:44:29.4  -11:34:54.7  
18:24:32.0  -24:52:10.8  
18:32:27.5  -08:36:55.0  
18:57:36.3  +09:43:17.1  
19:09:47.4  -37:44:14.5  
19:39:38.5  +21:34:59.1  
21:24:43.8  -33:58:45.0  
21:29:22.7  -57:21:14.2  
21:45:50.4  -07:50:18.5  
22:41:42.0  -52:36:36.2  
